id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
7903,"Colorful, modern 2 BR apt shared with host",14169,Stacy,,Agassiz,42.39031,-71.09361,Private room,118,4,295,2022-09-06,1.83,1,10,16,
8521,SunsplashedSerenity walk to Harvard & Fresh Pond,306681,Janet,,West Cambridge,42.38258,-71.13646,Entire home/apt,300,2,50,2022-08-28,0.31,2,258,5,C0121120491
8789,Curved Glass Studio/1bd facing Park,26988,Anne,,East Cambridge,42.35867,-71.06307,Entire home/apt,110,91,25,2020-04-15,0.25,5,279,0,
10813,"Back Bay Apt-blocks to subway, Newbury St, The Pru",38997,Michelle,,Area 2/MIT,42.35061,-71.08787,Entire home/apt,135,29,5,2020-12-02,0.06,11,355,0,
10986,North End (Waterfront area)  CLOSE TO MGH & SUBWAY,38997,Michelle,,East Cambridge,42.36377,-71.05206,Entire home/apt,135,33,2,2016-05-23,0.03,11,356,0,
11169,Lovely Studio Room: Available for long weekends,40965,Judy,,North Cambridge,42.3963,-71.13135,Private room,116,3,160,2022-09-05,1.05,2,331,11,
19581,"Furnished suite, Windsor",74249,Marc And Patty,,The Port,42.36258,-71.09603,Private room,195,10,8,2021-09-11,0.05,3,229,0,
27498,Furnished suite 2 @ the Windsor,74249,Marc And Patty,,The Port,42.36254,-71.09698,Private room,265,5,18,2022-08-28,0.12,3,251,7,
29765,"Luxury suite, Moroccan furnishings",128280,Elizabeth,,East Cambridge,42.37754,-71.06642,Entire home/apt,226,2,99,2022-08-14,0.66,1,28,3,STR-454024
34452,"walk to Harvard Square, Cambridge",48805,Harris,,Agassiz,42.38651,-71.11023,Private room,95,3,142,2022-08-31,0.97,2,256,4,
45987,Garden Studio,205107,Atef,,East Cambridge,42.37424,-71.06081,Entire home/apt,160,29,135,2022-07-31,0.92,1,56,4,STR-409822
46534,Victorian Elegance on Union Square's Prospect Hill,208115,Bill,,Wellington-Harrington,42.38296,-71.09332,Private room,78,2,954,2022-09-11,6.49,1,176,65,
65400,"Peaceful, comfy, sanctuary in Bungalow near Tufts",319650,Lisa,,North Cambridge,42.41403,-71.11637,Private room,139,2,39,2022-07-16,0.43,1,359,5,
67774,Corner 1 bed facing Golden Dome,26988,Anne,,East Cambridge,42.35689,-71.06206,Entire home/apt,105,91,47,2021-12-01,0.39,5,132,1,
71017,Acadia Rm- near Tufts and Davis Sq.,361955,Nanan,,North Cambridge,42.39869,-71.1034,Private room,76,7,51,2022-08-20,0.36,4,264,3,
106474,large furnished suite in Central sq,74249,Marc And Patty,,The Port,42.36274,-71.09768,Private room,295,5,20,2022-05-29,0.15,3,272,4,ROT-10694669-006
108898,"""The Treehouse"" :   Elegant living near Harvard",306681,Janet,,West Cambridge,42.38227,-71.13643,Entire home/apt,200,2,34,2022-08-31,0.25,2,258,13,CO121110491
151158,Lovely Sky View Boston&Cambridge,727944,Emily,,Agassiz,42.38226,-71.0995,Entire home/apt,195,28,205,2022-08-21,1.50,2,133,4,
154505,SHRINE OF THE RED DIAMOND (Trinitas - “DP”),742815,“Jon”,,East Cambridge,42.38487,-71.08643,Shared room,10,91,134,2019-08-27,0.98,7,153,0,
184893,Beautiful 1 bedroom apt cld sleep 4,887148,Dawn,,East Cambridge,42.37823,-71.06778,Private room,257,29,0,,,4,89,0,
199317,EXCELLENT 1 BED + DEN HARVARD Square,87398,Ari,,Neighborhood Nine,42.37975,-71.12262,Entire home/apt,236,91,14,2018-10-27,0.10,2,365,0,
219956,SHRINE OF THE RED DIAMOND (Hózhóogo - “DP”),742815,“Jon”,,East Cambridge,42.38589,-71.08586,Shared room,10,91,95,2019-07-14,0.71,7,153,0,
220676,Private room off the Freedom Trail.,1144302,Howard,,East Cambridge,42.36614,-71.05226,Private room,172,3,283,2022-09-15,2.12,1,11,26,STR-454055
222081,SHRINE OF THE RED DIAMOND (توحيد - “DP”),742815,“Jon”,,East Cambridge,42.38481,-71.08436,Shared room,10,91,101,2019-06-21,0.75,7,153,0,
235397,Spacious Condo Steps from Davis Sq.,844107,Sasha,,North Cambridge,42.39438,-71.11239,Entire home/apt,175,4,69,2022-09-16,0.61,1,43,14,
281264,Harvard's Historic Dollhouse/pvt deck in Union Sq,1466207,Elizabeth,,Agassiz,42.38195,-71.09913,Private room,157,1,526,2022-09-17,4.11,1,147,51,
370390,Your Room - 10 Min T Ride To Boston Center,1866924,David,,East Cambridge,42.38333,-71.08296,Private room,46,30,142,2022-07-28,1.11,2,234,5,
394462,Your Pad - 10 Min T Ride To Boston Center,1866924,David,,East Cambridge,42.38319,-71.08297,Private room,46,31,78,2022-09-03,0.62,2,276,7,
405144,Apartment in Harvard's Backyard,2018955,Nicole,,Riverside,42.3691,-71.11237,Entire home/apt,165,31,54,2021-07-29,0.42,1,199,0,
445407,East Cambridge Apartment,2212429,Jimmy,,Wellington-Harrington,42.37147,-71.08939,Entire home/apt,300,3,64,2022-08-13,0.51,2,1,8,STR-17249
456429,Elegant Airy Comfort. Workspace. Private Entrance.,2244099,Rebecca & Richard,,North Cambridge,42.39475,-71.12548,Entire home/apt,521,4,282,2022-08-12,2.25,1,28,21,
478652,Fenway Rm - Int'l House near Tufts,361955,Nanan,,North Cambridge,42.39807,-71.10281,Private room,66,7,14,2022-08-29,0.11,4,247,3,
478750,Newport Rm - Int'l House near Tufts,361955,Nanan,,North Cambridge,42.3978,-71.10269,Private room,81,7,31,2022-05-01,0.25,4,264,3,
479364,Berkshire Rm-Int'l House near Tufts,361955,Nanan,,North Cambridge,42.39898,-71.10338,Private room,86,7,48,2022-04-23,0.39,4,272,1,
577384,Large Room with Shared Bath,229956,Adam,,The Port,42.36613,-71.09883,Private room,39,3,147,2022-08-28,1.18,4,0,11,
611081,Houseboat in Boston Harbor,3029783,Deborah,,East Cambridge,42.37579,-71.04981,Entire home/apt,308,2,68,2022-09-18,0.93,5,333,20,STR-416892
619142,Getaway in Historic Charlestown,501427,Joe,,East Cambridge,42.377338,-71.063095,Entire home/apt,175,91,169,2022-02-16,1.37,1,239,1,
675441,Waterfront-1 Bed Room Luxury Condo,3423245,Elaine,,East Cambridge,42.37103,-71.07557,Private room,188,91,14,2015-05-28,0.12,1,365,0,
708802,Boston / Charlestown Apartment,3648427,Gerard  And Marie,,East Cambridge,42.37926,-71.06364,Entire home/apt,200,2,396,2022-09-18,3.27,1,248,22,STR-401905
715532,"Quiet, Artistically Decorated Cambridge Apartment",3673828,Kate,,North Cambridge,42.39346,-71.13137,Entire home/apt,266,2,322,2022-08-12,2.65,1,144,38,C0262370491
742574,See Yourself in Central Square,1152305,Greg,,The Port,42.36545,-71.10268,Entire home/apt,160,30,128,2022-06-15,1.08,4,95,1,
766700,"N4 Little Italy, Historic, Freedom Trail,TD Garden",3637081,Sarah,,East Cambridge,42.3657,-71.05618,Entire home/apt,205,1,620,2022-09-04,5.47,13,185,95,Exempt: This listing is a unit used for furnished institutional or business stays
789843,One Bedroom Condo with Private Roof Deck,4161865,Ally,,Area 2/MIT,42.35244,-71.0852,Entire home/apt,224,2,26,2022-09-11,0.27,1,67,24,STR-467813
815639,"N1 Lil Italy, Historic, Freedom Trail, TD Garden",3637081,Sarah,,East Cambridge,42.36695,-71.05601,Entire home/apt,211,1,729,2022-08-30,6.44,13,177,110,STR-445691
860634,Home on quiet street near Harvard,4507945,Deborah,,Agassiz,42.38373,-71.11424,Private room,70,3,476,2022-07-20,4.14,1,83,22,
863788,"Walk everywhere! South End w/Roof deck. 2BR, 2bath",775932,Andy & Daljit,,Area 2/MIT,42.344162,-71.070381,Entire home/apt,534,3,15,2022-05-30,0.13,1,1,5,STR-397937
891661,GORGEOUS WATER FRT NORTH END STUDIO,4737456,Paolo,,East Cambridge,42.3665,-71.05296,Entire home/apt,145,2,549,2022-08-29,4.74,1,43,81,STR-400168
910408,School Term Housing in Mid Cambridge MA!,4883794,Melissa,,Mid-Cambridge,42.37136,-71.10781,Entire home/apt,100,30,7,2022-05-14,0.06,1,27,1,
916123,"N3 Little Italy Historic, Freedom Trail, TD Garden",3637081,Sarah,,East Cambridge,42.36541,-71.05404,Entire home/apt,205,1,718,2022-08-28,6.26,13,177,107,STR-445691
930906,"Room 10 at Coolidge Corner, Brookli",5014042,Yue Jin,,Cambridgeport,42.34044,-71.12589,Private room,90,3,19,2022-07-31,0.19,13,207,1,
931151,"room 1at Coolidge corner, Brookline",5014042,Yue Jin,,Cambridgeport,42.34044,-71.12589,Private room,125,2,36,2022-05-13,0.40,13,327,6,
931260,Grad pad #12 at Coolidge Corner,5014042,Yue Jin,,Cambridgeport,42.34044,-71.12589,Private room,90,3,10,2022-09-04,0.11,13,265,3,
931295,"room 3at Coolidge corner, Brookline",5014042,Yue Jin,,Cambridgeport,42.34044,-71.12589,Private room,125,2,21,2022-09-03,0.19,13,278,6,
931311,"rm 11 at Coolidge corner, Brookline",5014042,Yue Jin,,Cambridgeport,42.33949,-71.12628,Private room,90,3,14,2022-07-29,0.18,13,88,1,
931314,"Grad pad #9 at Coolidge Corner,",5014042,Yue Jin,,Cambridgeport,42.34044,-71.12589,Private room,90,3,22,2022-05-31,0.19,13,233,1,
977860,Bedroom near Longwood Hospitals w/private balcony.,5350366,Scott,,Cambridgeport,42.33485,-71.11525,Private room,50,91,27,2020-01-31,0.25,2,265,0,
978507,"room 6 at Coolidge Corner, Brooklin",5014042,Yue Jin,,Cambridgeport,42.34044,-71.12589,Private room,85,3,20,2022-08-31,0.18,13,274,1,
984992,Home Away from Home BED and BATH,342545,Anjana And Karthik,,Wellington-Harrington,42.38915,-71.09166,Private room,51,91,38,2017-12-19,0.33,5,222,0,
989163,"The Dalton | The Upton, South End",5430185,Laura And Olivia,,Area 2/MIT,42.34308,-71.07316,Entire home/apt,220,1,67,2022-07-10,0.61,7,39,7,Exempt: This listing is a hotel or motel
1054635,"Sunny, lg 1-br, heart of Cambridge",3087212,Eleanor,,Mid-Cambridge,42.37285,-71.11263,Entire home/apt,130,91,11,2022-04-30,0.10,1,175,1,
1066808,Best House Cambridge/Somerville,5869562,Susan,,Agassiz,42.3807,-71.10906,Entire home/apt,451,2,219,2022-09-05,1.94,1,306,44,
1074146,Home Away from Home in Davis Square,2190792,Frank,,North Cambridge,42.39906,-71.12685,Entire home/apt,200,12,70,2022-07-21,0.61,1,0,6,
1097262,Harvard/MIT/BU/Central Square Room,6030020,Jason,,Cambridgeport,42.35734,-71.10973,Private room,130,14,47,2022-09-19,0.41,5,336,3,
1106258,"Furnished Private cozyroom,walk toT-bus2MIt Harvrd",342545,Anjana And Karthik,,Wellington-Harrington,42.39112,-71.09074,Private room,50,60,75,2021-10-01,0.66,5,21,1,
1130279,**Back to AirBnB** 3BR North End -Perfect Location,2494599,Trisha,,East Cambridge,42.36489,-71.05198,Entire home/apt,571,2,97,2022-09-03,0.85,1,269,11,STR-466324
1140201,"Great Room Near Harvard/MIT/BU, bikes available",6030020,Jason,,Cambridgeport,42.35966,-71.10854,Private room,130,14,73,2022-08-25,0.64,5,329,4,
1141088,MIT/Harvard/Inman- 2 Bedroom Apt.,2530211,Erin,,Wellington-Harrington,42.37324,-71.09635,Entire home/apt,179,2,491,2022-09-18,4.31,1,192,64,STR-14611
